,team_a,team_b,rating_a,rating_b,is_home_a,score_a,score_b,team_a_win
248,Orlando Magic,Oklahoma City Thunder,336.7569789207503,333.0020932464824,1,136.0,139.0,0
249,Oklahoma City Thunder,Orlando Magic,333.0020932464824,336.7569789207503,0,139.0,136.0,2
250,Philadelphia 76ers,Utah Jazz,267.43640530743215,332.52712595009507,1,71.0,99.0,0
251,Utah Jazz,Philadelphia 76ers,332.52712595009507,267.43640530743215,0,99.0,71.0,1
252,Boston Celtics,Toronto Raptors,394.8072210782277,327.1110421624152,1,103.0,113.0,1
253,Toronto Raptors,Boston Celtics,327.1110421624152,394.8072210782277,0,113.0,103.0,2
254,Detroit Pistons,Chicago Bulls,324.0908395139,310.9714915192975,1,98.0,94.0,3
255,Chicago Bulls,Detroit Pistons,310.9714915192975,324.0908395139,0,94.0,98.0,2
256,Atlanta Hawks,Charlotte Hornets,288.98409440459426,306.60764184862535,1,97.0,94.0,2
257,Charlotte Hornets,Atlanta Hawks,306.60764184862535,288.98409440459426,0,94.0,97.0,0
258,Milwaukee Bucks,Washington Wizards,262.96497267678706,356.25546664565684,1,113.0,118.0,0
259,Washington Wizards,Milwaukee Bucks,356.25546664565684,262.96497267678706,0,118.0,113.0,2
260,San Antonio Spurs,Brooklyn Nets,431.83808458056154,319.85621082343135,1,102.0,75.0,1
261,Brooklyn Nets,San Antonio Spurs,319.85621082343135,431.83808458056154,0,75.0,102.0,0
262,Denver Nuggets,Minnesota Timberwolves,322.5968515777352,303.8087494175256,1,78.0,95.0,1
263,Minnesota Timberwolves,Denver Nuggets,303.8087494175256,322.5968515777352,0,95.0,78.0,2
264,Houston Rockets,Golden State Warriors,356.2905316338156,438.6798292053083,1,92.0,112.0,0
265,Golden State Warriors,Houston Rockets,438.6798292053083,356.2905316338156,0,112.0,92.0,2
266,Sacramento Kings,Los Angeles Lakers,414.63594664912125,373.9347982848566,1,132.0,114.0,1
267,Los Angeles Lakers,Sacramento Kings,373.9347982848566,414.63594664912125,0,114.0,132.0,0
268,Phoenix Suns,Portland Trail Blazers,382.83813057240695,333.3067424315426,1,110.0,92.0,1
269,Portland Trail Blazers,Phoenix Suns,333.3067424315426,382.83813057240695,0,92.0,110.0,1
270,Indiana Pacers,Utah Jazz,356.3688735883861,366.5394025567551,1,76.0,97.0,0
271,Utah Jazz,Indiana Pacers,366.5394025567551,356.3688735883861,0,97.0,76.0,2
272,Washington Wizards,New York Knicks,303.47712899669364,343.78438079598413,1,110.0,117.0,2
273,New York Knicks,Washington Wizards,343.78438079598413,303.47712899669364,0,117.0,110.0,2
274,New Orleans Pelicans,Golden State Warriors,368.1869221780752,413.55382988956535,1,120.0,134.0,0
275,Golden State Warriors,New Orleans Pelicans,413.55382988956535,368.1869221780752,0,134.0,120.0,3
276,Memphis Grizzlies,Brooklyn Nets,296.14425910283154,259.384230628898,1,101.0,91.0,2
277,Brooklyn Nets,Memphis Grizzlies,259.384230628898,296.14425910283154,0,91.0,101.0,0
278,Portland Trail Blazers,Phoenix Suns,310.496036790133,322.6914786684355,1,90.0,101.0,1
279,Phoenix Suns,Portland Trail Blazers,322.6914786684355,310.496036790133,0,101.0,90.0,2
280,LA Clippers,Sacramento Kings,329.81966535390535,326.8877094838662,1,114.0,109.0,3
